[*] '/home/llt/UNIX/lab3/lab03_pub/chals'
    Arch:     amd64-64-little
    RELRO:    Full RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
main = 0x107a9
Func         GOT      Address 
code_606     17a30    db84    
code_641     17a38    db94    
code_175     17a40    dba4    
code_1272    17a48    dbb4    
code_1276    17a50    dbc4    
code_286     17a58    dbd4    
code_249     17a60    dbe4    
code_502     17a68    dbf4    
code_284     17a70    dc04    
code_208     17a78    dc14    
code_280     17a80    dc24    
code_541     17a88    dc34    
code_206     17a90    dc44    
code_786     17a98    dc54    
code_1237    17aa0    dc64    
code_1008    17aa8    dc74    
code_788     17ab0    dc84    
code_704     17ab8    dc94    
code_741     17ac0    dca4    
code_1045    17ac8    dcb4    
code_1235    17ad0    dcc4    
code_738     17ad8    dcd4    
code_706     17ae0    dce4    
code_1239    17ae8    dcf4    
code_1152    17af0    dd04    
code_849     17af8    dd14    
code_775     17b00    dd24    
code_1004    17b08    dd34    
code_1193    17b10    dd44    
code_1156    17b18    dd54    
code_771     17b20    dd64    
code_1191    17b28    dd74    
code_200     17b30    dd84    
code_380     17b38    dd94    
code_1309    17b40    dda4    
code_1136    17b48    ddb4    
code_847     17b50    ddc4    
code_877     17b58    ddd4    
code_808     17b60    dde4    
code_57      17b68    ddf4    
code_1132    17b70    de04    
code_1134    17b78    de14    
code_841     17b80    de24    
code_1348    17b88    de34    
code_1346    17b90    de44    
code_10      17b98    de54    
code_1291    17ba0    de64    
code_884     17ba8    de74    
code_1293    17bb0    de84    
code_1385    17bb8    de94    
code_300     17bc0    dea4    
code_473     17bc8    deb4    
code_1250    17bd0    dec4    
code_304     17bd8    ded4    
code_949     17be0    dee4    
code_1254    17be8    def4    
code_1217    17bf0    df04    
code_1446    17bf8    df14    
code_1409    17c00    df24    
code_1256    17c08    df34    
code_947     17c10    df44    
code_1219    17c18    df54    
code_1407    17c20    df64    
code_1215    17c28    df74    
code_1448    17c30    df84    
code_945     17c38    df94    
code_908     17c40    dfa4    
code_906     17c48    dfb4    
code_943     17c50    dfc4    
code_96      17c58    dfd4    
code_986     17c60    dfe4    
code_1213    17c68    dff4    
code_180     17c70    e004    
code_1211    17c78    e014    
code_141     17c80    e024    
code_591     17c88    e034    
code_558     17c90    e044    
code_108     17c98    e054    
code_519     17ca0    e064    
code_556     17ca8    e074    
code_432     17cb0    e084    
code_1186    17cb8    e094    
code_597     17cc0    e0a4    
code_147     17cc8    e0b4    
code_1149    17cd0    e0c4    
code_430     17cd8    e0d4    
code_92      17ce0    e0e4    
code_1147    17ce8    e0f4    
code_182     17cf0    e104    
code_145     17cf8    e114    
code_631     17d00    e124    
code_1188    17d08    e134    
code_149     17d10    e144    
code_186     17d18    e154    
code_1284    17d20    e164    
code_684     17d28    e174    
code_238     17d30    e184    
code_680     17d38    e194    
code_511     17d40    e1a4    
code_273     17d48    e1b4    
code_234     17d50    e1c4    
code_102     17d58    e1d4    
code_271     17d60    e1e4    
code_550     17d68    e1f4    
code_513     17d70    e204    
code_799     17d78    e214    
code_711     17d80    e224    
code_1019    17d88    e234    
code_1421    17d90    e244    
code_28      17d98    e254    
code_26      17da0    e264    
code_782     17da8    e274    
code_1184    17db0    e284    
code_1015    17db8    e294    
code_1011    17dc0    e2a4    
code_1013    17dc8    e2b4    
code_391     17dd0    e2c4    
code_317     17dd8    e2d4    
code_315     17de0    e2e4    
code_230     17de8    e2f4    
code_866     17df0    e304    
code_1332    17df8    e314    
code_834     17e00    e324    
code_20      17e08    e334    
code_22      17e10    e344    
code_1082    17e18    e354    
code_871     17e20    e364    
code_873     17e28    e374    
code_1260    17e30    e384    
code_1379    17e38    e394    
code_1338    17e40    e3a4    
code_1221    17e48    e3b4    
code_429     17e50    e3c4    
code_466     17e58    e3d4    
code_1084    17e60    e3e4    
code_1373    17e68    e3f4    
code_427     17e70    e404    
code_313     17e78    e414    
code_311     17e80    e424    
code_1377    17e88    e434    
code_1225    17e90    e444    
code_921     17e98    e454    
code_1418    17ea0    e464    
code_1451    17ea8    e474    
code_1049    17eb0    e484    
code_1414    17eb8    e494    
code_953     17ec0    e4a4    
code_1160    17ec8    e4b4    
code_990     17ed0    e4c4    
code_157     17ed8    e4d4    
code_568     17ee0    e4e4    
code_1457    17ee8    e4f4    
code_1121    17ef0    e504    
code_155     17ef8    e514    
code_566     17f00    e524    
code_67      17f08    e534    
code_153     17f10    e544    
code_114     17f18    e554    
code_529     17f20    e564    
code_527     17f28    e574    
code_112     17f30    e584    
code_562     17f38    e594    
code_460     17f40    e5a4    
code_61      17f48    e5b4    
code_421     17f50    e5c4    
code_1175    17f58    e5d4    
code_639     17f60    e5e4    
code_676     17f68    e5f4    
code_159     17f70    e604    
code_620     17f78    e614    
code_637     17f80    e624    
code_674     17f88    e634    
code_635     17f90    e644    
code_624     17f98    e654    
code_1313    17fa0    e664    
code_1179    17fa8    e674    
code_261     17fb0    e684    
code_226     17fb8    e694    
code_224     17fc8    e6b4    
code_1258    17fd0    e6c4    
code_758     17fd8    e6d4    
code_720     17fe0    e6e4    
code_1026    17fe8    e6f4    
code_523     17ff0    e704    
code_1067    17ff8    e714    
code_756     18000    e724    
code_265     18008    e734    
code_754     18010    e744    
code_719     18018    e754    
code_1063    18020    e764    
code_761     18028    e774    
code_717     18030    e784    
code_269     18038    e794    
code_797     18040    e7a4    
code_4       18048    e7b4    
code_328     18050    e7c4    
code_326     18058    e7d4    
code_222     18060    e7e4    
code_829     18068    e7f4    
code_898     18070    e804    
code_1114    18078    e814    
code_369     18080    e824    
code_220     18088    e834    
code_827     18090    e844    
code_367     18098    e854    
code_1321    180a0    e864    
code_825     180a8    e874    
code_851     180b0    e884    
code_814     180b8    e894    
code_2       180c0    e8a4    
code_1360    180c8    e8b4    
code_823     180d0    e8c4    
code_33      180d8    e8d4    
code_1093    180e0    e8e4    
code_1232    180e8    e8f4    
code_862     180f0    e904    
code_864     180f8    e914    
code_1362    18100    e924    
code_457     18108    e934    
code_1230    18110    e944    
code_1097    18118    e954    
code_860     18120    e964    
code_1095    18128    e974    
code_492     18130    e984    
code_418     18138    e994    
code_416     18140    e9a4    
code_451     18148    e9b4    
code_1056    18150    e9c4    
code_1423    18158    e9d4    
code_1368    18160    e9e4    
code_320     18168    e9f4    
code_1234    18170    ea04    
code_929     18178    ea14    
code_498     18180    ea24    
code_1099    18188    ea34    
code_927     18190    ea44    
code_925     18198    ea54    
code_1464    181a0    ea64    
code_1468    181a8    ea74    
code_129     181b0    ea84    
code_960     181b8    ea94    
code_1110    181c0    eaa4    
code_164     181c8    eab4    
code_577     181d0    eac4    
code_76      181d8    ead4    
code_538     181e0    eae4    
code_575     181e8    eaf4    
code_160     181f0    eb04    
code_573     181f8    eb14    
code_70      18200    eb24    
code_412     18208    eb34    
code_1306    18210    eb44    
code_698     18218    eb54    
code_651     18220    eb64    
code_1125    18228    eb74    
code_628     18230    eb84    
code_663     18238    eb94    
code_1300    18240    eba4    
code_1129    18248    ebb4    
code_661     18250    ebc4    
code_1304    18258    ebd4    
code_299     18260    ebe4    
code_254     18268    ebf4    
code_1266    18270    ec04    
code_1264    18278    ec14    
code_534     18280    ec24    
code_571     18288    ec34    
code_769     18290    ec44    
code_776     18298    ec54    
code_1074    182a0    ec64    
code_293     182a8    ec74    
code_532     182b0    ec84    
code_1406    182b8    ec94    
code_291     182c0    eca4    
code_1268    182c8    ecb4    
code_47      182d0    ecc4    
code_1072    182d8    ecd4    
code_728     182e0    ece4    
code_1035    182e8    ecf4    
code_1229    182f0    ed04    
code_726     182f8    ed14    
code_6       18300    ed24    
code_1166    18308    ed34    
code_1400    18310    ed44    
code_374     18318    ed54    
code_339     18320    ed64    
code_337     18328    ed74    
code_801     18330    ed84    
code_1144    18338    ed94    
code_1107    18340    eda4    
code_1356    18348    edb4    
code_857     18350    edc4    
code_1354    18358    edd4    
code_1317    18360    ede4    
code_45      18368    edf4    
code_1142    18370    ee04    
code_805     18378    ee14    
code_1105    18380    ee24    
code_855     18388    ee34    
code_43      18390    ee44    
code_853     18398    ee54    
code_816     183a0    ee64    
code_894     183a8    ee74    
code_896     183b0    ee84    
code_1103    183b8    ee94    
code_892     183c0    eea4    
code_1391    183c8    eeb4    
code_1101    183d0    eec4    
code_448     183d8    eed4    
code_446     183e0    eee4    
code_409     183e8    eef4    
code_1399    183f0    ef04    
code_407     183f8    ef14    
code_1434    18400    ef24    
code_1069    18408    ef34    
code_333     18410    ef44    
code_1246    18418    ef54    
code_1395    18428    ef74    
code_331     18430    ef84    
code_989     18438    ef94    
code_901     18440    efa4    
code_1471    18448    efb4    
code_933     18450    efc4    
code_903     18458    efd4    
code_1242    18460    efe4    
code_1203    18468    eff4    
code_489     18470    f004    
code_1436    18478    f014    
code_1473    18480    f024    
code_974     18488    f034    
code_970     18490    f044    
code_1475    18498    f054    
code_583     184a0    f064    
code_133     184a8    f074    
code_548     184b0    f084    
code_581     184b8    f094    
code_546     184c0    f0a4    
code_84      184c8    f0b4    
code_1140    184d0    f0c4    
code_509     184d8    f0d4    
code_601     184e0    f0e4    
code_139     184e8    f0f4    
code_687     184f0    f104    
code_440     184f8    f114    
code_403     18500    f124    
code_1116    18508    f134    
code_659     18510    f144    
code_1331    18518    f154    
code_642     18520    f164    
code_607     18528    f174    
code_657     18530    f184    
code_176     18538    f194    
code_1273    18540    f1a4    
code_692     18548    f1b4    
code_285     18550    f1c4    
code_248     18558    f1d4    
code_1040    18568    f1f4    
code_283     18570    f204    
code_244     18578    f214    
code_501     18580    f224    
code_242     18588    f234    
code_739     18590    f244    
code_785     18598    f254    
code_505     185a0    f264    
code_701     185a8    f274    
code_287     185b0    f284    
code_787     185b8    f294    
code_1279    185c0    f2a4    
code_58      185c8    f2b4    
code_1007    185d0    f2c4    
code_772     185d8    f2d4    
code_1001    185e0    f2e4    
code_1151    185e8    f2f4    
code_50      185f0    f304    
code_1192    185f8    f314    
code_240     18600    f324    
code_203     18608    f334    
code_307     18610    f344    
code_15      18618    f354    
code_201     18620    f364    
code_876     18628    f374    
code_1194    18630    f384    
code_1345    18638    f394    
code_1137    18640    f3a4    
code_56      18648    f3b4    
code_1308    18650    f3c4    
code_1133    18658    f3d4    
code_1347    18660    f3e4    
code_807     18668    f3f4    
code_842     18670    f404    
code_885     18678    f414    
code_1198    18680    f424    
code_1388    18688    f434    
code_1380    18690    f444    
code_439     18698    f454    
code_437     186a0    f464    
code_470     186a8    f474    
code_433     186b0    f484    
code_1445    186b8    f494    
code_340     186c0    f4a4    
code_1255    186c8    f4b4    
code_1218    186d0    f4c4    
code_1386    186d8    f4d4    
code_956     186e0    f4e4    
code_946     186e8    f4f4    
code_993     186f0    f504    
code_1212    186f8    f514    
code_944     18700    f524    
code_995     18708    f534    
code_97      18710    f544    
code_1251    18718    f554    
code_1253    18720    f564    
code_983     18728    f574    
code_95      18730    f584    
code_985     18738    f594    
code_144     18740    f5a4    
code_981     18748    f5b4    
code_142     18750    f5c4    
code_109     18758    f5d4    
code_590     18760    f5e4    
code_557     18768    f5f4    
code_518     18770    f604    
code_598     18778    f614    
code_185     18780    f624    
code_1148    18788    f634    
code_630     18790    f644    
code_183     18798    f654    
code_648     187a0    f664    
code_632     187a8    f674    
code_189     187b0    f684    
code_634     187b8    f694    
code_646     187c0    f6a4    
code_1189    187c8    f6b4    
code_1090    187d0    f6c4    
code_609     187d8    f6d4    
code_683     187e0    f6e4    
code_685     187e8    f6f4    
code_1283    187f0    f704    
code_1051    187f8    f714    
code_235     18800    f724    
code_512     18808    f734    
code_272     18810    f744    
code_1285    18818    f754    
code_101     18820    f764    
code_551     18828    f774    
code_710     18830    f784    
code_748     18838    f794    
code_278     18840    f7a4    
code_239     18848    f7b4    
code_712     18850    f7c4    
code_709     18858    f7d4    
code_1287    18860    f7e4    
code_25      18868    f7f4    
code_744     18870    f804    
code_707     18878    f814    
code_1016    18880    f824    
code_1185    18888    f834    
code_1012    18890    f844    
code_783     18898    f854    
code_396     188a0    f864    
code_318     188a8    f874    
code_355     188b0    f884    
code_27      188b8    f894    
code_1333    188c0    f8a4    
code_23      188c8    f8b4    
code_1337    188d0    f8c4    
code_822     188d8    f8d4    
code_1370    188e0    f8e4    
code_1335    188e8    f8f4    
code_872     188f0    f904    
code_1374    188f8    f914    
code_1085    18900    f924    
code_870     18908    f934    
code_469     18910    f944    
code_467     18918    f954    
code_351     18920    f964    
code_919     18928    f974    
code_1413    18930    f984    
code_920     18938    f994    
code_1450    18940    f9a4    
code_969     18948    f9b4    
code_1415    18950    f9c4    
code_999     18958    f9d4    
code_952     18960    f9e4    
code_954     18968    f9f4    
code_117     18970    fa04    
code_567     18978    fa14    
code_1120    18980    fa24    
code_154     18988    fa34    
code_950     18990    fa44    
code_115     18998    fa54    
code_1454    189a0    fa64    
code_1419    189a8    fa74    
code_152     189b0    fa84    
code_528     189b8    fa94    
code_563     189c0    faa4    
code_113     189c8    fab4    
code_111     189d0    fac4    
code_561     189d8    fad4    
code_62      189e0    fae4    
code_424     189e8    faf4    
code_461     189f0    fb04    
code_1351    189f8    fb14    
code_621     18a00    fb24    
code_677     18a08    fb34    
code_158     18a10    fb44    
code_1316    18a18    fb54    
code_1353    18a20    fb64    
code_569     18a28    fb74    
code_660     18a30    fb84    
code_199     18a38    fb94    
code_1312    18a40    fba4    
code_636     18a48    fbb4    
code_1176    18a50    fbc4    
code_1310    18a58    fbd4    
code_262     18a60    fbe4    
code_520     18a68    fbf4    
code_260     18a70    fc04    
code_757     18a78    fc14    
code_1027    18a80    fc24    
code_1259    18a88    fc34    
code_1021    18a90    fc44    
code_718     18a98    fc54    
code_753     18aa0    fc64    
code_716     18aa8    fc74    
code_751     18ab0    fc84    
code_1023    18ab8    fc94    
code_760     18ac0    fca4    
code_1064    18ac8    fcb4    
code_794     18ad0    fcc4    
code_796     18ad8    fcd4    
code_329     18ae0    fce4    
code_5       18ae8    fcf4    
code_360     18af0    fd04    
code_38      18af8    fd14    
code_897     18b00    fd24    
code_368     18b08    fd34    
code_221     18b10    fd44    
code_1115    18b18    fd54    
code_828     18b20    fd64    
code_366     18b28    fd74    
code_1       18b30    fd84    
code_1363    18b38    fd94    
code_3       18b40    fda4    
code_811     18b48    fdb4    
code_1326    18b50    fdc4    
code_850     18b58    fdd4    
code_1361    18b60    fde4    
code_1324    18b68    fdf4    
code_1365    18b70    fe04    
code_30      18b78    fe14    
code_865     18b80    fe24    
code_497     18b88    fe34    
code_1231    18b90    fe44    
code_321     18b98    fe54    
code_1424    18ba0    fe64    
code_499     18ba8    fe74    
code_1055    18bb0    fe84    
code_1422    18bb8    fe94    
code_930     18bc0    fea4    
code_1059    18bc8    feb4    
code_1426    18bd0    fec4    
code_924     18bd8    fed4    
code_961     18be0    fee4    
code_963     18be8    fef4    
code_1469    18bf0    ff04    
code_77      18bf8    ff14    
code_1098    18c00    ff24    
code_1461    18c08    ff34    
code_1111    18c10    ff44    
code_163     18c18    ff54    
code_126     18c20    ff64    
code_539     18c28    ff74    
code_576     18c30    ff84    
code_1463    18c38    ff94    
code_537     18c40    ffa4    
code_124     18c48    ffb4    
code_574     18c50    ffc4    
code_411     18c58    ffd4    
code_73      18c60    ffe4    
code_572     18c68    fff4    
code_75      18c70    10004   
code_450     18c78    10014   
code_415     18c80    10024   
code_1126    18c88    10034   
code_71      18c90    10044   
code_1467    18c98    10054   
code_169     18ca0    10064   
code_413     18ca8    10074   
code_697     18cb0    10084   
code_1342    18cb8    10094   
code_167     18cc0    100a4   
code_650     18cc8    100b4   
code_613     18cd0    100c4   
code_1169    18cd8    100d4   
code_699     18ce0    100e4   
code_629     18ce8    100f4   
code_1128    18cf0    10104   
code_662     18cf8    10114   
code_1263    18d00    10124   
code_290     18d08    10134   
code_218     18d10    10144   
code_533     18d18    10154   
code_120     18d20    10164   
code_777     18d28    10174   
code_259     18d30    10184   
code_531     18d38    10194   
code_766     18d40    101a4   
code_729     18d48    101b4   
code_779     18d50    101c4   
code_257     18d58    101d4   
code_1226    18d60    101e4   
code_1032    18d68    101f4   
code_764     18d70    10204   
code_1071    18d78    10214   
code_1034    18d80    10224   
code_762     18d88    10234   
code_48      18d90    10244   
code_1401    18d98    10254   
code_1073    18da0    10264   
code_1163    18da8    10274   
code_7       18db0    10284   
code_1167    18db8    10294   
code_1269    18dc0    102a4   
code_1165    18dc8    102b4   
code_338     18dd0    102c4   
code_334     18dd8    102d4   
code_1318    18de0    102e4   
code_1355    18de8    102f4   
code_212     18df0    10304   
code_377     18df8    10314   
code_800     18e00    10324   
code_856     18e08    10334   
code_375     18e10    10344   
code_1390    18e18    10354   
code_817     18e20    10364   
code_854     18e28    10374   
code_852     18e30    10384   
code_1143    18e38    10394   
code_1359    18e40    103a4   
code_1106    18e48    103b4   
code_1398    18e50    103c4   
code_44      18e58    103d4   
code_1280    18e60    103e4   
code_893     18e68    103f4   
code_1396    18e70    10404   
code_1282    18e78    10414   
code_1394    18e80    10424   
code_891     18e88    10434   
code_482     18e90    10444   
code_480     18e98    10454   
code_408     18ea0    10464   
code_332     18ea8    10474   
code_988     18eb0    10484   
code_900     18eb8    10494   
code_330     18ec0    104a4   
code_1206    18ec8    104b4   
code_902     18ed0    104c4   
code_1247    18ed8    104d4   
code_1068    18ee0    104e4   
code_936     18ee8    104f4   
code_1208    18ef0    10504   
code_1433    18ef8    10514   
code_1243    18f00    10524   
code_1204    18f08    10534   
code_1437    18f10    10544   
code_932     18f18    10554   
code_1182    18f20    10564   
